ID,Profit
0,191913.10015877275
1,191707.76242457633
2,182033.33425339247
3,182784.9460070958
4,167605.805057373
5,156980.4355272187
6,156120.14765573933
7,156074.6955126148
8,151674.58020591966
9,150172.19900135905
10,133949.76538290892
11,135704.38603810026
12,140698.3133958018
13,134428.58372692228
14,132615.9295388481
15,130451.53720738625
16,125818.14268685634
17,125999.65808307209
18,125027.4959606782
19,122474.81800803998
20,117260.08855308016
21,111574.2222404361
22,111019.1539107734
23,109171.13240221437
24,108293.55755732342
25,106789.41652236751
26,105233.26740018239
27,112590.56621150605
28,101014.51997724008
29,101563.75263313147
30,99968.24272349296
31,67951.76504730956
32,97333.97128400787
33,97233.7066437894
34,96689.7000875701
35,96269.87964920417
36,90335.0297832835
37,89678.37450662756
38,68351.65916232888
39,81144.62161668095
40,84069.76196762815
41,85232.63741052817
42,71397.05526255206
43,69837.49810780014
44,65365.1854532392
45,64934.33775247945
46,49667.6301252465
47,51946.15542711385
48,52674.25107636558
49,14623.243213453077
